Link Text,URL
Images,https://www.google.com/imghp?hl=en&tab=wi
Maps,https://maps.google.co.in/maps?hl=en&tab=wl
Play,https://play.google.com/?hl=en&tab=w8
YouTube,https://www.youtube.com/?tab=w1
News,https://news.google.com/?tab=wn
Gmail,https://mail.google.com/mail/?tab=wm
Drive,https://drive.google.com/?tab=wo
More »,https://www.google.co.in/intl/en/about/products?tab=wh
Web History,http://www.google.co.in/history/optout?hl=en
Settings,/preferences?hl=en
Sign in,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/&ec=GAZAAQ
Advanced search,/advanced_search?hl=en-IN&authuser=0
हिन्दी,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=hi&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAY
বাংলা,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=bn&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAc
తెలుగు,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=te&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAg
मराठी,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=mr&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAk
தமிழ்,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=ta&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAo
ગુજરાતી,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=gu&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAs
ಕನ್ನಡ,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=kn&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCAw
മലയാളം,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=ml&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCA0
ਪੰਜਾਬੀ,https://www.google.com/setprefs?sig=0_1xhJaJsg386CKA_y38ELw220huE%3D&hl=pa&source=homepage&sa=X&ved=0ahUKEwjiufOFv4eKAxVbm68BHbj0AIEQ2ZgBCA4
Advertising,/intl/en/ads/
Business Solutions,http://www.google.co.in/services/
About Google,/intl/en/about.html
Google.co.in,https://www.google.com/setprefdomain?prefdom=IN&prev=https://www.google.co.in/&sig=K_aiVGT-cCsY15q2xbn65wcuxYJko%3D
Privacy,/intl/en/policies/privacy/
Terms,/intl/en/policies/terms/
